,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,punta arenas,75,CL,2019-09-30 03:57:29,55,-53.16,-70.91,37.4,17.22
1,gushikawa,75,JP,2019-09-30 03:57:29,70,26.35,127.87,87.8,14.99
2,qaanaaq,91,GL,2019-09-30 03:57:29,67,77.48,-69.36,30.65,9.82
3,taolanaro,,,,,,,,
4,nikolskoye,75,RU,2019-09-30 03:57:29,93,59.7,30.79,52,4.47
5,illoqqortoormiut,,,,,,,,
6,albany,1,US,2019-09-30 03:56:58,75,42.65,-73.75,52,3.36
7,sentyabrskiy,,,,,,,,
8,kruisfontein,100,ZA,2019-09-30 03:57:30,84,-34,24.73,52.61,10.83
9,chapais,90,CA,2019-09-30 03:57:30,74,49.78,-74.86,37.4,1.61
10,sakakah,,,,,,,,
11,yerbogachen,76,RU,2019-09-30 03:57:30,80,61.28,108.01,32.09,7.94
12,atuona,21,PF,2019-09-30 03:57:30,80,-9.8,-139.03,79.25,20.27
13,east london,75,ZA,2019-09-30 03:57:30,100,-33.02,27.91,55.4,13.87
14,milingimbi,,,,,,,,
15,humberto de campos,14,BR,2019-09-30 03:57:30,83,-2.6,-43.46,76.73,8.93
16,bluff,0,AU,2019-09-30 03:57:31,23,-23.58,149.07,88.97,3.53
17,haines junction,100,CA,2019-09-30 03:57:31,56,60.75,-137.51,35.51,5.59
18,tuatapere,86,NZ,2019-09-30 03:57:31,73,-46.13,167.69,48,15.99
19,vaini,20,IN,2019-09-30 03:57:31,69,15.34,74.49,78.8,2.24
20,hithadhoo,2,MV,2019-09-30 03:57:31,72,-0.6,73.08,81.95,9.75
21,manono,100,CD,2019-09-30 03:57:31,86,-7.3,27.4,71.69,3.33
22,cape town,40,ZA,2019-09-30 03:57:31,87,-33.93,18.42,57.99,8.05
23,ushuaia,75,AR,2019-09-30 03:54:31,96,-54.81,-68.31,32,12.75
24,pervoavgustovskiy,88,RU,2019-09-30 03:57:32,95,52.23,35.05,46.85,8.25
25,tuktoyaktuk,75,CA,2019-09-30 03:57:32,93,69.44,-133.03,35.6,5.82
26,bredasdorp,51,ZA,2019-09-30 03:57:32,97,-34.53,20.04,53.01,4
27,hermanus,32,ZA,2019-09-30 03:57:32,80,-34.42,19.24,55.99,4.36
28,torbay,75,CA,2019-09-30 03:57:32,81,47.66,-52.73,52,25.28
29,castro,90,CL,2019-09-30 03:57:32,86,-42.48,-73.76,41,9.17
30,nanortalik,18,GL,2019-09-30 03:57:32,91,60.14,-45.24,38.57,0.36
31,arraial do cabo,100,BR,2019-09-30 03:57:33,87,-22.97,-42.02,67.91,13.02
32,barrow,99,AR,2019-09-30 03:57:33,98,-38.31,-60.23,58.37,3.89
33,saskylakh,0,RU,2019-09-30 03:57:33,70,71.97,114.09,27.41,1.99
34,ijaki,,,,,,,,
35,yate,40,GB,2019-09-30 03:57:33,87,51.54,-2.41,54,4.7
36,merauke,52,ID,2019-09-30 03:57:33,86,-8.49,140.4,79.25,21.5
37,kibala,20,TD,2019-09-30 03:57:33,88,9.11,18.35,75.2,1.81
38,fasa,27,IR,2019-09-30 03:52:42,55,28.94,53.65,66.2,4.7
39,lebu,100,ET,2019-09-30 03:57:34,91,8.96,38.73,54.23,1.86
40,kahului,40,US,2019-09-30 03:57:34,69,20.89,-156.47,84.99,13.87
41,san juan,0,AR,2019-09-30 03:57:34,8,-31.54,-68.53,61.61,9.71
42,manokwari,32,ID,2019-09-30 03:57:34,72,-0.87,134.08,79.61,5.19
43,puerto ayora,17,EC,2019-09-30 03:57:34,88,-0.74,-90.35,68,1.99
44,laohekou,0,CN,2019-09-30 03:57:34,37,32.39,111.67,75,1.01
45,coruripe,18,BR,2019-09-30 03:57:34,96,-10.12,-36.18,69.89,6.55
46,touros,75,BR,2019-09-30 03:57:34,83,-5.2,-35.46,75.2,3.36
47,loa janan,100,ID,2019-09-30 03:57:35,80,-0.58,117.09,82.85,4.45
48,richards bay,100,ZA,2019-09-30 03:57:35,80,-28.77,32.06,69.89,32.32
49,barra do garcas,30,BR,2019-09-30 03:57:35,48,-15.89,-52.26,81.23,2.55
50,majene,0,ID,2019-09-30 03:57:35,73,-3.54,118.97,81.05,24.63
51,waingapu,0,ID,2019-09-30 03:57:35,37,-9.65,120.26,87.35,14.54
52,shimoda,75,JP,2019-09-30 03:57:35,78,34.7,138.93,80.6,13.87
53,pangnirtung,100,CA,2019-09-30 03:57:35,95,66.15,-65.72,35.51,3.22
54,mataura,70,NZ,2019-09-30 03:57:36,73,-46.19,168.86,48,15.99
55,noumea,20,NC,2019-09-30 03:57:36,51,-22.28,166.46,84.2,12.75
56,hobart,20,AU,2019-09-30 03:57:07,45,-42.88,147.33,57.2,16.11
57,nanakuli,1,US,2019-09-30 03:57:36,65,21.39,-158.15,86,10.29
58,kamenskoye,,,,,,,,
59,kirakira,100,SB,2019-09-30 03:57:36,79,-10.46,161.92,83.21,12.75
60,lata,9,IN,2019-09-30 03:57:36,75,30.78,78.62,40.55,2.77
61,hambantota,20,LK,2019-09-30 03:57:36,88,6.12,81.12,82.4,3.67
62,busselton,0,AU,2019-09-30 03:57:37,40,-33.64,115.35,75.99,12.88
63,rikitea,81,PF,2019-09-30 03:57:37,71,-23.12,-134.97,70.79,10.4
64,trenggalek,100,ID,2019-09-30 03:57:37,53,-8.05,111.71,83.93,9.31
65,dikson,98,RU,2019-09-30 03:57:37,81,73.51,80.55,30.47,7.47
66,mahibadhoo,100,MV,2019-09-30 03:57:37,90,3.78,72.97,76.01,0.81
67,poum,0,MK,2019-09-30 03:57:37,88,41.28,20.71,51.53,0.94
68,pevek,100,RU,2019-09-30 03:57:37,83,69.7,170.27,31.37,14.81
69,hami,47,CN,2019-09-30 03:57:38,16,42.84,93.51,80.51,4.54
70,taurianova,40,IT,2019-09-30 03:57:38,88,38.36,16.01,73.99,4.7
71,klaksvik,100,FO,2019-09-30 03:57:38,87,62.23,-6.59,42.8,17.22
72,namalenga,62,TZ,2019-09-30 03:57:38,85,-10.95,39.1,72.77,1.86
73,itarema,16,BR,2019-09-30 03:57:38,82,-2.92,-39.92,74.75,8.05
74,acapulco,90,MX,2019-09-30 03:57:38,100,16.86,-99.88,73.4,8.05
75,grand river south east,,,,,,,,
76,barentsburg,,,,,,,,
77,woodburn,40,AU,2019-09-30 03:57:39,57,-29.07,153.34,78.8,12.75
78,port blair,96,IN,2019-09-30 03:57:39,77,11.67,92.75,82.49,8.1
79,utiroa,,,,,,,,
80,hilo,75,US,2019-09-30 03:57:39,65,19.71,-155.08,82.4,6.93
81,lichuan,0,CN,2019-09-30 03:57:39,41,30.3,108.94,81.23,1.79
82,sandovo,100,RU,2019-09-30 03:57:39,95,58.46,36.41,49.37,9.42
83,monduli,100,TZ,2019-09-30 03:57:39,83,-3.3,36.45,64.67,3.87
84,buala,100,SB,2019-09-30 03:57:39,75,-8.15,159.59,83.93,14.7
85,arnprior,40,CA,2019-09-30 03:57:40,70,45.44,-76.36,48.99,4.7
86,luderitz,24,NA,2019-09-30 03:57:40,80,-26.65,15.16,55.85,22.59
87,ribeira grande,9,PT,2019-09-30 03:57:40,83,38.52,-28.7,72.05,10.36
88,chardara,,,,,,,,
89,meridian,1,US,2019-09-30 03:57:40,42,43.61,-116.39,48.2,3.71
90,kapaa,20,US,2019-09-30 03:57:40,74,22.08,-159.32,87.8,17.22
91,dakoro,14,NE,2019-09-30 03:57:40,39,14.51,6.76,85.01,10.54
92,north platte,1,US,2019-09-30 03:57:41,54,41.12,-100.77,82.4,23.04
93,raudeberg,20,NO,2019-09-30 03:57:41,70,61.99,5.14,46.4,19.46
94,port-gentil,100,GA,2019-09-30 03:57:41,82,-0.72,8.78,76.73,14.7
95,beringovskiy,2,RU,2019-09-30 03:57:41,55,63.05,179.32,41.99,5.08
96,pierre,90,US,2019-09-30 03:57:41,88,44.37,-100.35,71.01,13.87
97,hurghada,,,,,,,,
98,sept-iles,5,CA,2019-09-30 03:57:28,69,50.2,-66.38,42.01,3.36
99,port alfred,68,ZA,2019-09-30 03:57:41,80,-33.59,26.89,62.01,5.01
100,hobyo,25,SO,2019-09-30 03:57:42,91,5.35,48.53,75.47,6.87
101,ugoofaaru,100,MV,2019-09-30 03:57:42,76,5.67,73,80.69,7.63
102,upernavik,90,GL,2019-09-30 03:57:42,60,72.79,-56.15,40.55,8.68
103,cap-aux-meules,0,CA,2019-09-30 03:54:27,67,47.38,-61.86,50.99,31.52
104,graaff-reinet,100,ZA,2019-09-30 03:57:42,63,-32.25,24.53,51.89,11.83
105,yeletskiy,,,,,,,,
106,thompson,5,CA,2019-09-30 03:57:42,74,55.74,-97.86,30.2,4.7
107,lakes entrance,95,AU,2019-09-30 03:57:42,48,-37.88,147.99,61,5.99
108,tura,100,RU,2019-09-30 03:57:43,69,64.27,100.22,31.19,3.15
109,provideniya,75,RU,2019-09-30 03:57:43,81,64.42,-173.23,46.4,6.71
110,tres picos,100,MX,2019-09-30 03:57:43,86,16.23,-93.58,67.73,1.79
111,new norfolk,20,AU,2019-09-30 03:57:43,45,-42.78,147.06,57.2,16.11
112,hovd,75,NO,2019-09-30 03:57:43,93,63.83,10.7,44.01,6.93
113,college,90,US,2019-09-30 03:57:43,93,64.86,-147.8,50,1.88
114,tasiilaq,10,GL,2019-09-30 03:57:43,56,65.61,-37.64,41,2.17
115,banjarmasin,100,ID,2019-09-30 03:57:44,54,-3.32,114.59,87.89,10.31
116,murgab,75,TM,2019-09-30 03:57:44,48,37.5,61.97,62.6,4.7
117,valera,0,VE,2019-09-30 03:57:44,78,9.31,-70.61,79.79,5.3
118,lisakovsk,0,KZ,2019-09-30 03:57:44,72,52.55,62.49,34.79,0.87
119,vila velha,75,BR,2019-09-30 03:57:44,74,-3.71,-38.6,78.8,11.41
120,xam nua,0,LA,2019-09-30 03:57:44,41,20.42,104.04,81.41,1.43
121,butaritari,44,KI,2019-09-30 03:57:44,64,3.07,172.79,84.83,6.98
122,chokurdakh,100,RU,2019-09-30 03:57:45,85,70.62,147.9,28.31,7.81
123,mar del plata,65,AR,2019-09-30 03:57:45,36,-46.43,-67.52,45.77,26.55
124,muzhi,100,RU,2019-09-30 03:57:45,88,65.4,64.7,36.23,6.42
125,sale,90,AU,2019-09-30 03:57:45,59,-38.11,147.06,61,4
126,burns lake,0,CA,2019-09-30 03:57:45,51,54.23,-125.76,31.73,3.04
127,broken hill,0,AU,2019-09-30 03:57:45,28,-31.97,141.45,68,12.75
128,sorland,75,NO,2019-09-30 03:57:45,86,67.67,12.69,41,11.41
129,mehamn,75,NO,2019-09-30 03:57:46,100,71.03,27.85,37.4,5.82
130,saint george,0,GR,2019-09-30 03:57:46,87,39.45,22.34,60.8,1.43
131,ziarat,0,PK,2019-09-30 03:57:46,38,30.38,67.73,62.33,3.42
132,souillac,90,FR,2019-09-30 03:57:46,93,45.6,-0.6,60.8,2.17
133,chimbarongo,0,CL,2019-09-30 03:57:46,71,-34.71,-71.04,55.4,5.82
134,alice springs,0,AU,2019-09-30 03:57:46,10,-23.7,133.88,93.2,13.87
135,garissa,99,KE,2019-09-30 03:57:46,81,-0.46,39.64,73.49,7.7
136,soc trang,40,VN,2019-09-30 03:57:47,70,9.6,105.98,87.8,4.7
137,samarai,100,PG,2019-09-30 03:57:47,92,-10.62,150.67,77.63,9.75
138,yenagoa,55,NG,2019-09-30 03:57:47,95,4.92,6.26,74.21,4.14
139,palana,100,RU,2019-09-30 03:57:47,86,59.08,159.95,45.95,19.42
140,simbahan,66,PH,2019-09-30 03:57:47,66,6.3,120.58,83.21,5.19
141,maragogi,53,BR,2019-09-30 03:56:05,94,-9.01,-35.22,71.51,3.27
142,cherskiy,100,RU,2019-09-30 03:57:47,69,68.75,161.3,32.27,4.45
143,kyra,,,,,,,,
144,altay,100,CN,2019-09-30 03:57:48,71,47.83,88.13,40.55,6.38
145,bengkulu,,,,,,,,
146,kuche,,,,,,,,
